PedidoID,LineaID,SKU,ProductoNombre,Categoria,Marca,Talla,Color,Unidades,PrecioUnit,IVAPct
1000001,1,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,M,Beige,1,39.99,0.21
1000002,1,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Rojo,1,12.99,0.21
1000002,2,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,M,Blanco,1,39.99,0.21
1000002,3,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Gris,1,24.99,0.21
1000003,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,L,Gris,1,20.99,0.21
1000004,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,M,Azul,2,69.99,0.21
1000004,2,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Rojo,1,12.99,0.21
1000005,1,NC-JK-050,Chaqueta Denim,Ropa,Nord&Co,M,Beige,1,73.49,0.21
1000005,2,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Negro,1,12.99,0.21
1000005,3,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Azul,1,26.24,0.21
1000006,1,NC-HD-003,Sudadera Hoodie,Ropa,Nord&Co,L,Verde,1,42.74,0.21
1000006,2,NC-AC-005,Cinturón Piel,Accesorios,Nord&Co,UN,Gris,1,24.99,0.21
1000006,3,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XL,Azul,3,15.74,0.21
1000007,1,NC-TS-002,Camiseta Premium,Ropa,Nord&Co,M,Negro,1,19.99,0.21
1000008,1,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,41,Azul,2,59.99,0.21
1000008,2,NC-AC-004,Gorra Classic,Accesorios,Nord&Co,UN,Beige,1,12.34,0.21
1000008,3,NC-PT-020,Pantalón Chino,Ropa,Nord&Co,XL,Negro,1,39.99,0.21
1000009,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,XS,Verde,1,15.74,0.21
1000009,2,NC-SH-010,Zapatilla Urban,Calzado,Nord&Co,40,Blanco,1,62.99,0.21
1000010,1,NC-TS-001,Camiseta Básica,Ropa,Nord&Co,L,Azul,1,14.99,0.21
