OrdenID,FechaEntrada,FechaSalida,TallerID,TallerNombre,CiudadTaller,ClienteID,VehiculoID,MecanicoID,MecanicoNombre,GarantiaSiNo
2000001,2023-01-31,2023-01-31,T003,AutoZen Mar,Valencia,C0335,V00360,M003,Nuria,No
2000002,2023-01-31,2023-02-01,T002,AutoZen Norte,Madrid,C0756,V00829,M001,Luis,No
2000003,2023-01-31,2023-01-31,T002,AutoZen Norte,Madrid,C0794,V00867,M005,Irene,No
2000004,2023-01-31,2023-01-31,T001,AutoZen Atocha,Madrid,C0748,V00822,M004,Leo,No
2000005,2023-01-31,2023-02-01,T002,AutoZen Norte,Madrid,C0533,V00585,M005,Irene,No
2000006,2023-01-31,2023-01-31,T003,AutoZen Mar,Valencia,C0430,V00466,M001,Luis,No
2000007,2023-01-31,2023-02-01,T003,AutoZen Mar,Valencia,C0235,V00262,M001,Luis,No
2000008,2023-01-31,2023-01-31,T003,AutoZen Mar,Valencia,C0625,V00688,M004,Leo,No
2000009,2023-02-01,2023-02-01,T001,AutoZen Atocha,Madrid,C0528,V00580,M001,Luis,No
2000010,2023-02-01,2023-02-01,T001,AutoZen Atocha,Madrid,C0592,V00652,M005,Irene,No
2000011,2023-02-01,2023-02-02,T002,AutoZen Norte,Madrid,C0397,V00431,M003,Nuria,No
2000012,2023-02-01,2023-02-03,T004,AutoZen Triana,Sevilla,C0027,V00034,M002,Sara,No
2000013,2023-02-01,2023-02-01,T001,AutoZen Atocha,Madrid,C0002,V00003,M001,Luis,No
2000014,2023-02-01,2023-02-01,T002,AutoZen Norte,Madrid,C0206,V00231,M006,Pablo,No
2000015,2023-02-01,2023-02-01,T001,AutoZen Atocha,Madrid,C0134,V00150,M003,Nuria,No
2000016,2023-02-01,2023-02-01,T004,AutoZen Triana,Sevilla,C0630,V00693,M005,Irene,No
2000017,2023-02-01,2023-02-01,T001,AutoZen Atocha,Madrid,C0087,V00093,M001,Luis,No
2000018,2023-02-01,2023-02-03,T001,AutoZen Atocha,Madrid,C0596,V00657,M006,Pablo,No
2000019,2023-02-02,2023-02-03,T003,AutoZen Mar,Valencia,C0269,V00298,M001,Luis,No
2000020,2023-02-02,2023-02-03,T004,AutoZen Triana,Sevilla,C0761,V00835,M002,Sara,No
2000021,2023-02-02,2023-02-02,T004,AutoZen Triana,Sevilla,C0422,V00457,M001,Luis,No
2000022,2023-02-02,2023-02-02,T001,AutoZen Atocha,Madrid,C0461,V00502,M005,Irene,No
2000023,2023-02-03,2023-02-04,T001,AutoZen Atocha,Madrid,C0032,V00039,M005,Irene,Sí
2000024,2023-02-03,2023-02-03,T001,AutoZen Atocha,Madrid,C0317,V00343,M001,Luis,No
2000025,2023-02-03,2023-02-03,T002,AutoZen Norte,Madrid,C0678,V00744,M001,Luis,No
2000026,2023-02-03,2023-02-04,T002,AutoZen Norte,Madrid,C0206,V00231,M004,Leo,No
2000027,2023-02-03,2023-02-04,T004,AutoZen Triana,Sevilla,C0849,V00931,M004,Leo,No
2000028,2023-02-03,2023-02-03,T001,AutoZen Atocha,Madrid,C0164,V00182,M003,Nuria,No
2000029,2023-02-03,2023-02-03,T003,AutoZen Mar,Valencia,C0845,V00927,M005,Irene,No
2000030,2023-02-03,2023-02-04,T004,AutoZen Triana,Sevilla,C0106,V00116,M001,Luis,No
2000031,2023-02-03,2023-02-03,T003,AutoZen Mar,Valencia,C0550,V00604,M006,Pablo,No
2000032,2023-02-03,2023-02-03,T003,AutoZen Mar,Valencia,C0434,V00470,M004,Leo,No
2000033,2023-02-03,2023-02-03,T002,AutoZen Norte,Madrid,C0423,V00459,M004,Leo,No
2000034,2023-02-03,2023-02-03,T004,AutoZen Triana,Sevilla,C0261,V00289,M005,Irene,No
2000035,2023-02-03,2023-02-04,T003,AutoZen Mar,Valencia,C0760,V00834,M002,Sara,No
2000036,2023-02-04,2023-02-04,T001,AutoZen Atocha,Madrid,C0266,V00297,M002,Sara,No
2000037,2023-02-04,2023-02-04,T001,AutoZen Atocha,Madrid,C0389,V00419,M002,Sara,No
2000038,2023-02-04,2023-02-05,T001,AutoZen Atocha,Madrid,C0556,V00610,M003,Nuria,No
2000039,2023-02-04,2023-02-04,T002,AutoZen Norte,Madrid,C0347,V00374,M005,Irene,No
2000040,2023-02-04,2023-02-04,T002,AutoZen Norte,Madrid,C0866,V00950,M002,Sara,No
2000041,2023-02-04,2023-02-05,T001,AutoZen Atocha,Madrid,C0218,V00245,M005,Irene,No
2000042,2023-02-04,2023-02-05,T002,AutoZen Norte,Madrid,C0713,V00783,M004,Leo,No
2000043,2023-02-04,2023-02-04,T003,AutoZen Mar,Valencia,C0037,V00044,M004,Leo,No
2000044,2023-02-04,2023-02-05,T002,AutoZen Norte,Madrid,C0771,V00845,M002,Sara,No
2000045,2023-02-04,2023-02-04,T002,AutoZen Norte,Madrid,C0793,V00866,M005,Irene,No
2000046,2023-02-04,2023-02-04,T002,AutoZen Norte,Madrid,C0597,V00658,M005,Irene,No
