OrdenID,LineaID,ServicioID,Servicio,FamiliaServicio,Averia,HorasManoObra,PrecioHora,PiezasCoste
2000001,1,S006,ITV precheck,Inspección,Inspección,0.78,45.0,2.8
2000002,1,S004,Batería,Electricidad,Electricidad,0.72,55.12,77.67
2000002,2,S005,Aire acondicionado,Climatización,Climatización,2.39,63.0,205.63
2000003,1,S003,Discos freno,Frenos,Frenos,1.53,57.75,111.9
2000004,1,S003,Discos freno,Frenos,Frenos,1.66,57.75,63.95
2000005,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.98,66.15,23.9
2000006,1,S007,Neumáticos,Ruedas,Ruedas,1.44,52.25,340.6
2000006,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.46,45.0,22.31
2000007,1,S005,Aire acondicionado,Climatización,Climatización,1.96,60.0,150.43
2000008,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.91,60.0,17.59
2000009,1,S005,Aire acondicionado,Climatización,Climatización,1.77,59.85,140.14
2000010,1,S004,Batería,Electricidad,Electricidad,1.08,55.12,172.16
2000010,2,S007,Neumáticos,Ruedas,Ruedas,1.99,57.75,236.08
2000011,1,S007,Neumáticos,Ruedas,Ruedas,1.39,57.75,254.85
2000012,1,S004,Batería,Electricidad,Electricidad,0.67,50.0,156.79
2000012,2,S006,ITV precheck,Inspección,Inspección,0.95,45.0,8.6
2000013,1,S005,Aire acondicionado,Climatización,Climatización,1.81,63.0,153.41
2000014,1,S003,Discos freno,Frenos,Frenos,1.81,54.86,150.7
2000015,1,S005,Aire acondicionado,Climatización,Climatización,2.15,63.0,171.42
2000015,2,S004,Batería,Electricidad,Electricidad,0.63,52.5,78.99
2000016,1,S005,Aire acondicionado,Climatización,Climatización,2.13,60.0,147.98
2000017,1,S004,Batería,Electricidad,Electricidad,0.87,52.5,138.08
2000017,2,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.28,59.85,54.0
2000017,3,S003,Discos freno,Frenos,Frenos,1.78,60.64,131.55
2000018,1,S002,Pastillas freno,Frenos,Frenos,1.1,49.88,54.94
2000018,2,S006,ITV precheck,Inspección,Inspección,0.95,47.25,16.51
2000019,1,S003,Discos freno,Frenos,Frenos,2.21,55.0,109.51
2000020,1,S003,Discos freno,Frenos,Frenos,1.95,55.0,90.15
2000020,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.51,47.25,30.46
2000021,1,S002,Pastillas freno,Frenos,Frenos,1.12,47.5,37.92
2000021,2,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.97,45.0,23.42
2000021,3,S006,ITV precheck,Inspección,Inspección,0.81,45.0,7.29
2000022,1,S002,Pastillas freno,Frenos,Frenos,0.89,49.88,86.22
2000023,1,S006,ITV precheck,Inspección,Inspección,0.61,49.61,15.34
2000023,2,S003,Discos freno,Frenos,Frenos,1.25,57.75,93.24
2000024,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,1.06,59.85,28.15
2000025,1,S005,Aire acondicionado,Climatización,Climatización,1.85,63.0,203.81
2000026,1,S006,ITV precheck,Inspección,Inspección,1.13,49.61,19.26
2000026,2,S004,Batería,Electricidad,Electricidad,1.0,52.5,169.75
2000027,1,S003,Discos freno,Frenos,Frenos,1.71,52.25,128.94
2000027,2,S004,Batería,Electricidad,Electricidad,1.09,50.0,114.52
2000028,1,S003,Discos freno,Frenos,Frenos,1.23,57.75,144.18
2000029,1,S006,ITV precheck,Inspección,Inspección,0.99,45.0,4.87
2000029,2,S007,Neumáticos,Ruedas,Ruedas,1.43,55.0,186.74
2000029,3,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.51,57.0,37.51
2000030,1,S005,Aire acondicionado,Climatización,Climatización,1.9,63.0,130.07
2000031,1,S007,Neumáticos,Ruedas,Ruedas,1.17,52.25,250.11
2000032,1,S002,Pastillas freno,Frenos,Frenos,1.35,50.0,53.63
2000033,1,S007,Neumáticos,Ruedas,Ruedas,1.41,57.75,191.81
2000033,2,S006,ITV precheck,Inspección,Inspección,0.74,44.89,17.07
2000034,1,S004,Batería,Electricidad,Electricidad,0.35,50.0,111.55
2000035,1,S006,ITV precheck,Inspección,Inspección,1.34,42.75,10.85
2000036,1,S008,Sensor/diagnóstico,Diagnóstico,Diagnóstico,0.92,59.85,17.55
2000037,1,S003,Discos freno,Frenos,Frenos,1.76,54.86,129.79
2000038,1,S006,ITV precheck,Inspección,Inspección,0.78,49.61,5.72
2000039,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.67,44.89,34.24
2000040,1,S005,Aire acondicionado,Climatización,Climatización,1.51,63.0,89.59
2000041,1,S006,ITV precheck,Inspección,Inspección,0.42,44.89,18.3
2000042,1,S006,ITV precheck,Inspección,Inspección,0.6,49.61,15.67
2000043,1,S002,Pastillas freno,Frenos,Frenos,1.22,47.5,54.99
2000044,1,S002,Pastillas freno,Frenos,Frenos,1.55,55.12,39.84
2000045,1,S002,Pastillas freno,Frenos,Frenos,0.74,52.5,47.94
2000045,2,S005,Aire acondicionado,Climatización,Climatización,1.92,63.0,155.62
2000045,3,S006,ITV precheck,Inspección,Inspección,0.57,47.25,5.96
2000046,1,S007,Neumáticos,Ruedas,Ruedas,1.65,60.64,305.09
2000047,1,S004,Batería,Electricidad,Electricidad,0.57,47.5,75.18
2000048,1,S001,Cambio aceite,Mantenimiento,Mantenimiento,0.3,42.75,28.69
