ReservaID,LineaID,HotelID,HotelNombre,DestinoID,PaisDestino,CiudadDestino,Regimen,Noches,Viajeros,PrecioNoche
3000001,1,H0016,CityStay Oporto 3,D006,Portugal,Oporto,Desayuno,4,1,64.12
3000002,1,H0036,Duomo Tokio 1,D013,Japón,Tokio,Solo alojamiento,4,2,122.85
3000003,1,H0003,Atlas Roma 3,D001,Italia,Roma,Solo alojamiento,6,1,104.74
3000004,1,H0030,Atlas Valencia 2,D011,España,Valencia,Pensión completa,5,2,73.5
3000005,1,H0035,Duomo Nueva York 4,D012,EEUU,Nueva York,Media pensión,4,1,132.3
3000006,1,H0023,CityStay Berlín 3,D008,Alemania,Berlín,Media pensión,3,2,112.81
3000007,1,H0014,Atlas Oporto 1,D006,Portugal,Oporto,Media pensión,6,1,78.75
3000008,1,H0032,BlueWave Nueva York 1,D012,EEUU,Nueva York,Solo alojamiento,5,2,183.75
3000009,1,H0025,Aureo Barcelona 1,D009,España,Barcelona,Solo alojamiento,3,2,87.5
3000010,1,H0013,Duomo Lisboa 2,D005,Portugal,Lisboa,Desayuno,4,2,82.69
3000011,1,H0010,Sakura París 2,D004,Francia,París,Solo alojamiento,5,1,94.5
3000012,1,H0021,Sakura Berlín 1,D008,Alemania,Berlín,Solo alojamiento,4,2,99.75
3000013,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Pensión completa,3,3,121.28
3000014,1,H0024,Duomo Berlín 4,D008,Alemania,Berlín,Solo alojamiento,7,2,85.5
3000015,1,H0014,Atlas Oporto 1,D006,Portugal,Oporto,Pensión completa,2,1,74.81
3000016,1,H0023,CityStay Berlín 3,D008,Alemania,Berlín,Desayuno,3,1,124.69
3000017,1,H0013,Duomo Lisboa 2,D005,Portugal,Lisboa,Media pensión,2,2,74.81
3000018,1,H0030,Atlas Valencia 2,D011,España,Valencia,Media pensión,2,2,73.5
3000019,1,H0032,BlueWave Nueva York 1,D012,EEUU,Nueva York,Media pensión,4,1,175.0
3000020,1,H0028,Aureo Sevilla 2,D010,España,Sevilla,Desayuno,2,1,73.5
3000021,1,H0029,Sakura Valencia 1,D011,España,Valencia,Solo alojamiento,4,1,87.5
3000022,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Media pensión,7,2,99.0
3000023,1,H0013,Duomo Lisboa 2,D005,Portugal,Lisboa,Media pensión,5,2,74.81
3000024,1,H0012,Duomo Lisboa 1,D005,Portugal,Lisboa,Media pensión,2,4,64.12
3000025,1,H0032,BlueWave Nueva York 1,D012,EEUU,Nueva York,Desayuno,2,1,166.25
3000026,1,H0016,CityStay Oporto 3,D006,Portugal,Oporto,Pensión completa,3,3,67.5
3000027,1,H0011,Duomo París 3,D004,Francia,París,Media pensión,7,3,104.74
3000028,1,H0031,Aureo Valencia 3,D011,España,Valencia,Solo alojamiento,5,1,63.0
3000029,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Media pensión,2,1,115.5
3000030,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Pensión completa,2,1,115.5
3000031,1,H0034,Duomo Nueva York 3,D012,EEUU,Nueva York,Media pensión,5,2,126.0
3000032,1,H0032,BlueWave Nueva York 1,D012,EEUU,Nueva York,Desayuno,4,4,175.0
3000033,1,H0037,Sakura Tokio 2,D013,Japón,Tokio,Desayuno,3,1,129.67
3000034,1,H0001,CityStay Roma 1,D001,Italia,Roma,Desayuno,4,2,99.75
3000035,1,H0012,Duomo Lisboa 1,D005,Portugal,Lisboa,Desayuno,3,2,67.5
3000036,1,H0034,Duomo Nueva York 3,D012,EEUU,Nueva York,Desayuno,7,2,126.0
3000037,1,H0016,CityStay Oporto 3,D006,Portugal,Oporto,Pensión completa,7,2,67.5
3000038,1,H0015,Aureo Oporto 2,D006,Portugal,Oporto,Media pensión,5,3,67.5
3000039,1,H0032,BlueWave Nueva York 1,D012,EEUU,Nueva York,Desayuno,3,2,166.25
3000040,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Solo alojamiento,4,2,99.0
3000041,1,H0009,Aureo París 1,D004,Francia,París,Solo alojamiento,2,1,89.77
3000042,1,H0005,CityStay Florencia 2,D002,Italia,Florencia,Media pensión,2,4,81.22
3000043,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Desayuno,7,1,147.0
3000044,1,H0009,Aureo París 1,D004,Francia,París,Desayuno,3,1,94.5
3000045,1,H0009,Aureo París 1,D004,Francia,París,Media pensión,3,1,99.23
3000046,1,H0011,Duomo París 3,D004,Francia,París,Pensión completa,3,3,110.25
3000047,1,H0026,Sakura Barcelona 2,D009,España,Barcelona,Media pensión,5,2,87.5
3000048,1,H0030,Atlas Valencia 2,D011,España,Valencia,Solo alojamiento,5,2,69.83
3000049,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Solo alojamiento,6,1,94.05
3000050,1,H0015,Aureo Oporto 2,D006,Portugal,Oporto,Desayuno,4,1,70.88
3000051,1,H0008,CityStay Venecia 2,D003,Italia,Venecia,Solo alojamiento,3,1,104.74
3000052,1,H0033,CityStay Nueva York 2,D012,EEUU,Nueva York,Solo alojamiento,3,1,154.35
3000053,1,H0029,Sakura Valencia 1,D011,España,Valencia,Pensión completa,3,2,91.88
3000054,1,H0022,BlueWave Berlín 2,D008,Alemania,Berlín,Media pensión,3,2,85.5
3000055,1,H0002,Sakura Roma 2,D001,Italia,Roma,Media pensión,5,2,104.74
3000056,1,H0020,Atlas Londres 4,D007,Reino Unido,Londres,Pensión completa,4,1,99.0
3000057,1,H0012,Duomo Lisboa 1,D005,Portugal,Lisboa,Solo alojamiento,7,3,64.12
3000058,1,H0006,Sakura Florencia 3,D002,Italia,Florencia,Media pensión,5,1,85.5
3000059,1,H0009,Aureo París 1,D004,Francia,París,Solo alojamiento,3,2,89.77
3000060,1,H0035,Duomo Nueva York 4,D012,EEUU,Nueva York,Media pensión,6,2,126.0
3000061,1,H0026,Sakura Barcelona 2,D009,España,Barcelona,Solo alojamiento,2,2,87.5
3000062,1,H0007,Duomo Venecia 1,D003,Italia,Venecia,Media pensión,2,2,99.75
3000063,1,H0034,Duomo Nueva York 3,D012,EEUU,Nueva York,Pensión completa,3,3,132.3
3000064,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Desayuno,6,2,109.72
3000065,1,H0037,Sakura Tokio 2,D013,Japón,Tokio,Solo alojamiento,3,2,136.5
3000066,1,H0021,Sakura Berlín 1,D008,Alemania,Berlín,Desayuno,5,1,99.75
3000067,1,H0023,CityStay Berlín 3,D008,Alemania,Berlín,Desayuno,3,2,124.69
3000068,1,H0027,Aureo Sevilla 1,D010,España,Sevilla,Solo alojamiento,5,2,63.0
3000069,1,H0002,Sakura Roma 2,D001,Italia,Roma,Media pensión,3,2,99.75
3000070,1,H0039,Atlas Tokio 4,D013,Japón,Tokio,Pensión completa,3,1,162.5
3000071,1,H0017,Aureo Londres 1,D007,Reino Unido,Londres,Pensión completa,2,2,115.5
3000072,1,H0038,Atlas Tokio 3,D013,Japón,Tokio,Media pensión,3,2,111.15
3000073,1,H0021,Sakura Berlín 1,D008,Alemania,Berlín,Media pensión,4,1,99.75
3000074,1,H0004,Duomo Florencia 1,D002,Italia,Florencia,Media pensión,5,2,118.75
3000075,1,H0016,CityStay Oporto 3,D006,Portugal,Oporto,Desayuno,4,1,64.12
