EnvioID,FechaCreacion,FechaEntrega,ClienteID,OrigenCiudadID,DestinoCiudadID,ServicioID,EstadoID,TransportistaID,PesoKg,VolumenM3,Coste
15000001,2023-01-31,2023-02-02,CL0091,CI008,CI001,SV01,ST04,TR04,2.81,0.282,43.96
15000002,2023-01-31,2023-02-03,CL0058,CI008,CI004,SV04,ST03,TR04,3.46,0.5,83.07
15000003,2023-01-31,2023-02-02,CL0281,CI001,CI009,SV02,ST04,TR04,4.53,0.062,28.91
15000004,2023-01-31,2023-02-03,CL0053,CI013,CI007,SV04,ST03,TR01,4.39,0.156,58.78
15000005,2023-01-31,2023-02-04,CL0168,CI002,CI012,SV01,ST04,TR02,5.58,0.133,42.37
15000006,2023-01-31,2023-02-01,CL0041,CI009,CI003,SV02,ST03,TR03,2.18,0.122,36.64
15000007,2023-01-31,2023-02-02,CL0281,CI001,CI012,SV01,ST04,TR02,4.7,0.482,102.71
15000008,2023-01-31,2023-02-01,CL0254,CI005,CI004,SV02,ST04,TR03,2.23,0.181,31.23
15000009,2023-01-31,2023-02-01,CL0358,CI010,CI008,SV03,ST06,TR04,4.2,0.571,140.78
15000010,2023-01-31,2023-02-03,CL0275,CI013,CI006,SV02,ST04,TR02,1.26,0.119,34.83
15000011,2023-01-31,2023-02-02,CL0214,CI008,CI011,SV02,ST05,TR04,3.09,0.313,72.72
15000012,2023-01-31,2023-02-04,CL0010,CI004,CI008,SV04,ST05,TR04,2.05,0.244,47.12
15000013,2023-01-31,2023-01-31,CL0167,CI007,CI011,SV03,ST04,TR03,4.54,0.065,39.29
15000014,2023-01-31,2023-02-02,CL0281,CI002,CI009,SV02,ST03,TR02,1.21,0.141,40.81
15000015,2023-01-31,2023-02-03,CL0135,CI004,CI004,SV04,ST03,TR02,3.53,0.095,29.05
15000016,2023-01-31,2023-02-03,CL0221,CI012,CI013,SV02,ST04,TR02,3.05,0.177,47.86
15000017,2023-01-31,2023-02-02,CL0291,CI009,CI001,SV01,ST02,TR01,5.33,0.174,52.38
15000018,2023-01-31,2023-02-03,CL0272,CI010,CI011,SV01,ST04,TR01,3.28,0.229,57.49
15000019,2023-01-31,2023-02-03,CL0268,CI006,CI007,SV02,ST04,TR04,5.0,0.091,22.92
15000020,2023-01-31,2023-01-31,CL0080,CI006,CI006,SV03,ST04,TR02,7.13,0.126,31.39
15000021,2023-01-31,2023-02-01,CL0274,CI009,CI013,SV03,ST04,TR03,2.59,0.354,94.6
15000022,2023-01-31,2023-01-31,CL0374,CI009,CI007,SV02,ST04,TR02,1.55,0.187,50.14
15000023,2023-01-31,2023-02-04,CL0001,CI007,CI008,SV04,ST03,TR02,3.41,0.107,31.91
