ParteID,Fecha,PlantaID,TecnicoID,EquipoID,IncidenciaID,SeveridadID,AccionID,Horas,CosteHora,MaterialCoste,ParadaMin
20000001,2023-01-31,PL02,T006,E0042,I05,S3,A02,2.75,32,298.85,118
20000002,2023-01-31,PL05,T006,E0097,I08,S2,A02,1.86,32,179.98,28
20000003,2023-01-31,PL04,T003,E0080,I08,S1,A04,0.65,45,120.26,0
20000004,2023-01-31,PL01,T006,E0023,I06,S2,A01,1.82,32,86.83,0
20000005,2023-01-31,PL01,T004,E0003,I07,S1,A03,0.25,45,25.55,0
20000006,2023-01-31,PL05,T002,E0097,I05,S1,A05,1.53,60,3.28,0
20000007,2023-01-31,PL03,T005,E0071,I01,S4,A05,3.1,32,29.03,110
20000008,2023-01-31,PL03,T003,E0067,I03,S1,A05,1.23,45,16.57,0
20000009,2023-01-31,PL04,T001,E0074,I05,S1,A02,0.7,60,47.52,0
20000010,2023-01-31,PL02,T006,E0027,I05,S1,A05,0.6,32,8.75,0
20000011,2023-02-01,PL01,T002,E0024,I04,S2,A05,2.07,60,0.27,87
20000012,2023-02-01,PL03,T004,E0052,I07,S1,A03,1.5,45,20.93,0
20000013,2023-02-01,PL05,T003,E0094,I05,S2,A06,1.61,45,2.96,68
20000014,2023-02-01,PL02,T002,E0040,I02,S1,A02,0.25,60,161.19,0
20000015,2023-02-01,PL02,T004,E0048,I08,S1,A02,0.47,45,152.78,0
20000016,2023-02-01,PL02,T002,E0027,I05,S1,A06,1.04,60,22.52,0
20000017,2023-02-01,PL05,T004,E0092,I01,S2,A04,1.67,45,134.15,0
20000018,2023-02-01,PL02,T002,E0029,I08,S1,A04,1.21,60,33.33,0
20000019,2023-02-01,PL04,T005,E0089,I06,S3,A01,2.06,32,207.4,129
20000020,2023-02-01,PL05,T006,E0105,I03,S2,A03,1.45,32,23.15,0
20000021,2023-02-01,PL02,T006,E0028,I08,S1,A02,1.48,32,113.49,0
20000022,2023-02-01,PL05,T002,E0091,I05,S1,A02,1.3,60,80.16,0
20000023,2023-02-02,PL01,T002,E0021,I04,S2,A05,0.74,60,17.9,0
20000024,2023-02-02,PL02,T003,E0035,I03,S1,A04,1.39,45,152.44,0
20000025,2023-02-02,PL05,T001,E0093,I01,S1,A01,1.05,60,20.29,0
20000026,2023-02-02,PL05,T003,E0103,I01,S2,A01,2.73,45,197.92,0
20000027,2023-02-02,PL01,T004,E0016,I05,S3,A01,2.12,45,233.84,0
20000028,2023-02-02,PL03,T005,E0063,I04,S1,A02,2.24,32,42.49,0
20000029,2023-02-03,PL04,T006,E0081,I01,S2,A02,0.7,32,46.01,38
20000030,2023-02-03,PL04,T005,E0083,I05,S1,A04,0.48,32,171.03,0
20000031,2023-02-03,PL03,T004,E0057,I04,S1,A02,1.12,45,108.19,0
20000032,2023-02-04,PL01,T002,E0017,I06,S1,A04,0.7,60,148.38,0
20000033,2023-02-04,PL02,T003,E0045,I05,S1,A05,0.93,45,1.15,0
20000034,2023-02-04,PL02,T005,E0038,I02,S1,A02,1.2,32,85.61,0
20000035,2023-02-04,PL02,T005,E0046,I07,S3,A06,1.44,32,53.36,0
20000036,2023-02-04,PL01,T001,E0018,I05,S2,A05,1.79,60,19.87,55
20000037,2023-02-04,PL04,T002,E0075,I01,S1,A03,0.6,60,27.69,0
20000038,2023-02-04,PL01,T004,E0008,I08,S4,A04,4.73,45,72.05,91
20000039,2023-02-05,PL04,T006,E0090,I06,S2,A02,1.83,32,105.81,0
20000040,2023-02-05,PL02,T004,E0036,I08,S3,A01,3.41,45,23.04,147
20000041,2023-02-05,PL03,T005,E0071,I08,S2,A03,1.15,32,4.76,56
20000042,2023-02-05,PL05,T005,E0108,I07,S2,A04,2.64,32,215.35,0
20000043,2023-02-05,PL01,T001,E0018,I08,S1,A03,1.36,60,10.38,0
20000044,2023-02-05,PL04,T003,E0081,I06,S2,A06,2.24,45,23.91,0
20000045,2023-02-05,PL05,T005,E0102,I07,S2,A02,2.15,32,98.82,15
20000046,2023-02-05,PL05,T004,E0103,I06,S2,A05,0.25,45,31.52,19
20000047,2023-02-05,PL01,T001,E0001,I02,S1,A02,0.87,60,62.56,0
20000048,2023-02-05,PL01,T006,E0001,I04,S1,A06,1.85,32,9.67,0
20000049,2023-02-06,PL03,T003,E0067,I08,S1,A03,0.66,45,1.0,0
20000050,2023-02-06,PL04,T006,E0077,I02,S3,A04,2.45,32,128.08,96
20000051,2023-02-06,PL01,T002,E0024,I03,S1,A02,0.63,60,98.64,0
20000052,2023-02-06,PL05,T002,E0108,I05,S1,A02,1.56,60,41.1,0
20000053,2023-02-06,PL02,T004,E0044,I03,S2,A03,1.78,45,12.74,0
20000054,2023-02-06,PL02,T006,E0045,I05,S1,A06,1.5,32,15.59,0
20000055,2023-02-06,PL05,T005,E0097,I08,S1,A01,0.41,32,69.23,0
20000056,2023-02-06,PL04,T001,E0075,I06,S3,A06,1.47,60,26.48,0
20000057,2023-02-06,PL03,T003,E0049,I04,S1,A03,1.56,45,7.09,0
20000058,2023-02-06,PL05,T005,E0098,I02,S3,A05,2.34,32,19.16,67
20000059,2023-02-06,PL02,T002,E0030,I01,S1,A01,0.25,60,92.31,0
20000060,2023-02-06,PL03,T001,E0052,I03,S1,A05,0.41,60,28.51,0
20000061,2023-02-06,PL05,T004,E0096,I07,S1,A06,0.73,45,3.9,0
20000062,2023-02-06,PL01,T003,E0010,I07,S3,A05,0.8,45,57.46,157
20000063,2023-02-06,PL04,T006,E0087,I02,S1,A02,0.43,32,83.08,0
20000064,2023-02-06,PL01,T005,E0006,I06,S1,A04,1.91,32,48.95,0
20000065,2023-02-07,PL01,T006,E0001,I02,S2,A02,2.9,32,209.32,0
20000066,2023-02-07,PL01,T001,E0008,I02,S1,A02,2.07,60,69.99,0
20000067,2023-02-07,PL01,T005,E0011,I06,S2,A02,1.59,32,23.93,0
